"DairyName","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Formation_Date","Formation_Date_Flag","Dissolution_Date","Dissolution_Date_Flag","Website","Website_Flag"
Kerbs Dairy,20001210736,G,33500 County Road  #55,Gill,CO,80624,,N,,x,40.489165,-104.540802,g1,,x,,x,2000-10-30,G,,N,,x
Kinikin Corner Dairy,20051381773,G,71502 R71 Road,Montrose,CO,81401,43004,G,,x,38.401682,-107.750722,g1,,x,,x,2005-10-13,G,2015-02-10,G,,x
Klaseen Dairy,20061061913,G,12504  2900 RD,Hotchkiss,CO,81419,15020,G,,x,38.832900,-107.822000,g1,,x,,x,2006-02-10,G,,N,,x
La Isla Farm and Dairy,20171194782,G,13816 County Road M,Antonito,CO,81120,11001,G,,x,37.152406,-106.004475,g1,,x,,x,2017-03-09,G,,N,,x
La Luna Dairy,19921125592,G,9003 N CTY RD 9,Wellington,CO,80549,35047,G,,x,40.714680,-105.019195,g1,,x,,x,1992-12-31,G,,N,,x
Lanette Dairy,20051092032,G,9749 TELLER COURT,Westminster,CO,80021,64153,G,,x,39.874006,-105.077323,g1,,x,,x,2005-03-02,G,,N,,x
Laz Ewe 2 Bar Goat Dairy,20071091391,G,10530 County Road 15,Del Norte,CO,81132,53002,G,,x,37.698266,-106.480386,g1,,x,,x,2007-02-22,G,,N,,x
Lazy K Dairy,20001253385,G,2192 BIRDIE DRIVE,Milliken,CO,80543,62043,G,,x,40.350409,-104.870801,g1,,x,,x,2000-12-27,G,,N,,x
Lazy V 7 Dairy,20101366292,G,20500 WCR 24,Hudson,CO,80642,62029,G,,x,40.159802,-104.668813,g1,,x,,x,2010-06-29,G,,N,,x
Legacy Family Dairy,20151540792,G,1469 E Noe Rd,Larkspur,CO,80118,18021,G,,x,39.181989,-104.856291,g1,,x,,x,2015-08-24,G,,N,,x
Legend Development Group Adams Dairy,20081599299,G,5150 E. Yale Cir,Denver,CO,80222,16002,G,,x,39.668193,-104.928328,g1,,x,,x,2008-11-13,G,,N,,x
Lone Star Dairy,20151421310,G,13346 County Road 16,La Jara,CO,81140,11009,G,,x,37.182053,-105.966288,g1,,x,,x,2015-06-26,G,,N,,x
Longmont Dairy Farm,19921085881,G,P.O. BOX 998,Longmont,CO,80502,64205,G,,x,40.161930,-105.103907,g1,,x,,x,1992-09-01,G,,N,,x
Longs Peak Dairy,19981061878,G,45490 CR 39,Pierce,CO,80650,62046,G,,x,40.660868,-104.696085,g1,,x,,x,1998-04-02,G,,N,,x
Lorien Farms Dairy,20121218056,G,38636 CR 5,Elizabeth,CO,80107,20004,G,,x,39.428924,-104.641701,g1,,x,,x,2012-04-17,G,,N,,x
Lost Creek Dairy,20121192041,G,36259 County Road 16,Roggen,CO,80652,,N,,x,40.102246,-104.371373,g1,,x,,x,2012-03-30,G,,N,,x
Loveland Dairy,20011152100,G,8604 E HIGHWAY 402,Loveland,CO,80538,35026,G,,x,40.378108,-104.992643,g1,,x,,x,2001-08-02,G,,N,,x
Lowell-Paul Dairy,19871281946,G,1121 47th Avenue,Greeley,CO,80634,62022,G,,x,40.418831,-104.756599,g1,,x,,x,1975-01-10,G,,N,,x
Lucky 7 Goat Dairy,20051205871,G,1636 Aspen Street,Strasburg,CO,80136,,N,,x,39.740549,-104.330405,g1,,x,,x,2005-05-20,G,2009-09-16,G,,x
LW Dairy,19961161524,G,22168 WCR 61,Kersey,CO,80644,62035,G,,x,40.323129,-104.485165,g1,,x,,x,1996-12-12,G,,N,,x
M and J Dairy,19971132832,G,3400 E. HWY 60,Loveland,CO,80537,35026,G,,x,40.349206,-104.993043,g1,,x,,x,1997-08-20,G,,N,,x
Marcellina Dairy,20091088485,G,19306 CR 41,La Salle,CO,80645,62037,G,,x,40.280901,-104.677642,g1,,x,,x,2009-02-10,G,,N,,x
Marrs Milky Way Dairy,20151360887,G,39713 County Road 43,Ault,CO,80610,62003,G,,x,40.577109,-104.658686,g1,,x,,x,2015-05-29,G,,N,,x
Marrs Milky Way Dairy,19961009568,G,2528 CR 19,Fort Lupton,CO,80621,62014,G,,x,40.036934,-104.884831,g1,,x,,x,1996-01-22,G,,N,,x
Maxwell Dairy Farm,19871209473,G,5117 NW  FRONTAGE ROAD,Fort Collins,CO,80524,35009,G,,x,40.581530,-105.004633,g1,,x,,x,1969-06-05,G,2013-02-12,G,,x
McIntosh Dairy,19901016056,G,11910 RIVERDALE RD,Brighton,CO,80602,64029,G,,x,39.910608,-104.902612,g1,,x,,x,1990-03-13,G,,N,,x
Meridian Dairy,19991014419,G,,,,,,M,,x,,,M,,x,,x,1999-01-26,G,2001-11-01,G,,x
Mile High Dairy,20061354897,G,15339 WCR 5,Longmont,CO,80504,64205,G,,x,40.225150,-105.018369,g1,,x,,x,2006-08-29,G,,N,,x
Mongolian Dairy,20121082185,G,3050 S Roslyn St,Denver,CO,80231,16002,G,,x,39.661908,-104.900393,g1,,x,,x,2012-02-06,G,,N,,x
Mongolian Dairy,20091225958,G,3050 S Roslyn St,Denver,CO,80231,16002,G,,x,39.661908,-104.900393,g1,,x,,x,2009-04-22,G,,N,,x
Monte Vista Dairy,20061070923,G,30984 CR 61,Gill,CO,80624,,N,,x,40.446591,-104.484222,g1,,x,,x,2006-02-16,G,,N,,x
Moon Hill Dairy,20101334815,G,PO Box 771262,Steamboat Springs,CO,80477,54023,G,,x,40.490000,-106.830000,g1,,x,,x,2010-06-11,G,,N,,x
Moonlight Dairy,20031149711,G,504 ELDER ST,Kersey,CO,80644,62035,G,,x,40.381803,-104.558788,g1,,x,,x,2003-05-08,G,2004-10-31,G,,x
Morning Fresh Dairy Farm,20001143719,G,5821 W CR 54,Bellvue,CO,80512,,N,,x,40.647802,-105.189511,g1,,x,,x,2000-07-24,G,,N,,x
Morning Sun Dairy,20051471211,G,26174 Weld County Road 42,Kersey,CO,80644,62035,G,,x,40.289932,-104.561783,g1,,x,,x,2006-01-01,G,,N,,x
Morwai Dairy,19971158529,G,19999 WCR 28,Hudson,CO,80642,62029,G,,x,40.189144,-104.677731,g1,,x,,x,1997-10-02,G,,N,,x
Mountain Flower Dairy,20121099500,G,3340 Broadway,Boulder,CO,80304,07006,G,,x,40.035668,-105.281655,g1,,x,,x,2012-02-16,G,2013-01-29,G,,x
Mountain Flower Urban Goat Dairy,20121492115,G,3240 Broadway,Boulder,CO,80304,07006,G,,x,40.034149,-105.281012,g1,,x,,x,2012-09-05,G,,N,,x
Mountain Sun Dairy,20151275079,G,9100 County Road 45,Center,CO,81125,64039,G,,x,37.880867,-106.182540,g1,,x,,x,2015-04-23,G,,N,,x
Native Horns Dairy,20161529892,G,12290 Mesa View Rd,Larkspur,CO,80118,18021,G,,x,39.183810,-104.805969,g1,,x,,x,2016-08-03,G,,N,,x
Natural Choice Dairy,20051191827,G,7111 County Rd 50,Johnstown,CO,80534,64266,G,,x,40.350696,-104.924477,g1,,x,,x,2005-05-10,G,2013-02-26,G,,x
Nature's Way Dairy,20061498076,G,17171 WCR 22,Fort Lupton,CO,80621,62014,G,,x,40.036713,-104.753806,g1,,x,,x,2006-12-06,G,2011-03-23,G,,x
Nichols Dairy,19871224570,G,1536 WILLOW ST,Canon City,CO,81212,22002,G,,x,38.423757,-105.194823,g1,,x,,x,1970-12-01,G,,N,,x
Nickol's Dairy dba Hillside Wholesome Milk Products,20091153002,G,2406 West 11th street,Pueblo,CO,81003,51016,G,,x,38.276865,-104.645286,g1,,x,,x,2009-03-14,G,,N,,x
Oro Blanco Dairy,20021297368,G,122 1ST ST,Eaton,CO,80615,62008,G,,x,40.525925,-104.712231,g1,,x,,x,2002-10-25,G,,N,,x
Peaches and Cream Dairy,20101529572,G,526 36 Rd.,Palisade,CO,81526,39034,G,,x,39.081642,-108.384391,g1,,x,,x,2010-09-24,G,2013-02-27,G,,x
Pearson Dairy,19941040292,G,21467 COUNTY ROAD 23,Fort Morgan,CO,80701,44006,G,,x,40.312041,-103.720665,g1,,x,,x,1994-04-05,G,2009-03-05,G,,x
Pepper Dairy,20101090362,G,1919 14th Street,Boulder,CO,80302,07006,G,,x,40.017654,-105.277450,g1,,x,,x,2010-02-12,G,,N,,x
Peschels Dairy,19931073365,G,20474 WCR 39,La Salle,CO,80645,62037,G,,x,40.297502,-104.695890,g1,,x,,x,1993-07-16,G,,N,,x
Pheasant Hills Dairy,20081478948,G,1105 WCR 53,Keenesburg,CO,80643,62033,G,,x,40.019036,-104.567341,g1,,x,,x,2008-09-08,G,2011-04-06,G,,x
Philpott Goat Dairy,20071286187,G,PO BOX 3,Hoehne,CO,81046,,N,,x,37.296746,-104.369008,g1,,x,,x,2007-06-19,G,,N,,x
Pickert Dairy,20001161632,G,19510 County Rd 5,Berthoud,CO,80513,64237,G,,x,40.284760,-105.017596,g1,,x,,x,2000-08-18,G,,N,,x
Pico Dairy,20091363714,G,2252 S. County Road 7,Loveland,CO,80537,35026,G,,x,40.369516,-105.002369,g1,,x,,x,2009-07-08,G,,N,,x
Platteville Dairy,20101090299,G,"1919 14th Street, Suite 300",Boulder,CO,80302,07006,G,,x,40.017654,-105.277450,g1,,x,,x,2010-02-12,G,,N,,x
Podtburg and Sons Dairy,20061066372,G,12669 Weld County Road 66,Greeley,CO,80631,62022,G,,x,40.465994,-104.820012,g1,,x,,x,2006-02-13,G,,N,,x
Podtburg Dairy,19971206001,G,37905 WCR 35,Eaton,CO,80615,62008,G,,x,40.550583,-104.739080,g1,,x,,x,1997-12-22,G,,N,,x
Prado Dairy,20131440082,G,23360 WCR 35,La Salle,CO,80645,62037,G,,x,40.338663,-104.734480,g1,,x,,x,2013-07-29,G,,N,,x
Prolix Dairy,20171236730,G,475 17th St,Denver,CO,80202,16002,G,,x,39.744735,-104.988773,g1,,x,,x,2017-03-24,G,,N,,x
R and K Dairy,20061456017,G,19467 WCR 18,Fort Lupton,CO,80621,62014,G,,x,40.118548,-104.690191,g1,,x,,x,2006-11-07,G,,N,,x
Rainbow Park Dairy,19891098304,G,1500 PARK AVE,Canon City,CO,81212,22002,G,,x,38.435779,-105.213472,g1,,x,,x,1989-10-03,G,,N,,x
Rams Horn Dairy,20081368401,G,8798 County Road 39,Yuma,CO,80759,63017,G,,x,40.132960,-102.646735,g1,,x,,x,2008-07-09,G,,N,,x
Raymond Dairy,19931039002,G,1412 M 3/4 RD,Loma,CO,81524,,N,,x,39.204462,-108.791650,g1,,x,,x,1993-04-13,G,,N,,x
River Edge Dairy and Farm,20091583972,G,6588 Highway 140,Hesperus,CO,81326,,N,,x,37.090681,-108.169321,g1,,x,,x,2009-11-04,G,,N,,x
RK Adams Dairy Landing,20101544107,G,"55 Madison St., Suite 635",Denver,CO,80206,16002,G,,x,39.717378,-104.946539,g1,,x,,x,2010-10-01,G,,N,,x
Rocky Mountain Dairy,20121514179,G,8604 EAST COUNTY ROAD 18,Johnstown,CO,80634,64266,G,,x,40.373903,-104.952619,g1,,x,,x,2012-09-20,G,2013-05-26,G,,x
Royal Crest Dairy,19871176374,G,350 S PEARL ST,Denver,CO,80209,16002,G,,x,39.710082,-104.980023,g1,,x,,x,1964-11-05,G,,N,,x
Sand Hill Dairy,20161180935,G,7250 County Road 26,Longmont,CO,80504,64205,G,,x,40.175165,-104.923091,g1,,x,,x,2016-03-14,G,,N,,x
Saxecroft Dairy,19991225122,G,1660 LINCOLN ST STE 2230,Denver,CO,80264,16002,G,,x,39.742984,-104.985788,g1,,x,,x,1999-12-02,G,2003-05-01,G,,x
Second Wind Dairy,20071270256,G,24502 County Road 13,Johnstown,CO,80534,64266,G,,x,40.359787,-104.945278,g1,,x,,x,2007-06-07,G,,N,,x
Seiber Dairy,20001021891,G,18374 county road 2,Wiggins,CO,80654,44016,G,,x,40.266768,-104.111738,g1,,x,,x,2000-02-01,G,,N,,x
Seven Bar Dairy,20001213040,G,2164 RIVER WEST DR,Windsor,CO,80550,64225,G,,x,40.474483,-104.956690,g1,,x,,x,2000-11-01,G,,N,,x
Shining Heart Dairy,19901059306,G,16291 CTY RD 19,Fort Morgan,CO,80701,44006,G,,x,40.236806,-103.792188,g1,,x,,x,1990-05-24,G,,N,,x
Simply Natural Dairy,20141280526,G,4617 West County Road 2,Berthoud,CO,80513,64237,G,,x,40.261273,-105.144938,g1,,x,,x,2014-04-30,G,,N,,x
Smith Dairy,19871688864,G,4194 County Rd 30,Yuma,CO,80759,63017,G,,x,40.002505,-102.732905,g1,,x,,x,1986-09-12,G,2007-06-12,G,,x
Stegner Bros. Dairy,20021266632,G,2129 W CR 54 G,Fort Collins,CO,80524,35009,G,,x,40.625378,-105.114973,g1,,x,,x,2002-09-26,G,,N,,x
Sterling Acres Dairy Farm,20171441515,G,606 Pampas Ct.,Canon City,CO,81212,22002,G,,x,38.487956,-105.244699,g1,,x,,x,2017-06-12,G,,N,,x
Stinar Dairy,20061069633,G,28850 WCR 46,Kersey,CO,80644,62035,G,,x,40.316029,-104.513063,g1,,x,,x,2006-02-15,G,,N,,x
Stout Dairy,20161296924,G,301 Willow Av,Eaton,CO,80615,62008,G,,x,40.528765,-104.703120,g1,,x,,x,2016-04-26,G,,N,,x
Struck Dairy,19881109059,G,507 WELD COUNTY ROAD # 23 1/2,Brighton,CO,80603,64029,G,,x,40.009138,-104.841540,g1,,x,,x,1988-12-28,G,2006-04-06,G,,x
Sugar Hill Dairy,20091036976,G,26174 WCR 42,Kersey,CO,80644,62035,G,,x,40.289932,-104.561783,g1,,x,,x,2009-01-18,G,,N,,x
Summit Dairy,20151257113,G,27915 CR 388,Kersey,CO,80644,62035,G,,x,40.405646,-104.528948,g1,,x,,x,2015-04-16,G,,N,,x
Sunrise Dairy,20131710559,G,70755 E County Rd 18,Byers,CO,80103,,N,,x,39.692179,-104.156740,g1,,x,,x,2014-01-01,G,,N,,x
Swets Dairy,20131215916,G,3726 Osier Place,Loveland,CO,80538,35026,G,,x,40.430484,-105.056802,g1,,x,,x,2013-04-03,G,,N,,x
The Billy The Kid Dairy,20061399065,G,15865 Alta Plaza Circle,Peyton,CO,80831,,N,,x,39.062322,-104.534647,g1,,x,,x,2007-01-01,G,,N,,x
Thompson Dairy,19911056494,G,POB 298,Palmer Lake,CO,80133,21034,G,,x,39.068715,-108.566211,g1,,x,,x,1991-07-22,G,2004-05-01,G,,x
Thompson River Dairy,20171005448,G,8604 East County Road 18,Johnstown,CO,80534,64266,G,,x,40.373903,-104.952619,g1,,x,,x,2017-01-03,G,,N,,x
Three Bells Dairy,20171902672,G,2590 Boettcher Farm Court,Fort Collins,CO,80524,35009,G,,x,40.645928,-105.122625,g1,,x,,x,2017-12-01,G,,N,,x
Three Sisters Farm and Dairy,20161185090,G,1152 41st Lane,Pueblo,CO,81006,51016,G,,x,38.244125,-104.411735,g1,,x,,x,2016-03-15,G,,N,,x
TNT Dairy,20171703107,G,1421 West County Road 1 South,Monte Vista,CO,81144,53005,G,,x,37.560456,-106.173152,g1,,x,,x,2017-09-20,G,,N,,x
Tres Leches Dairy,20171530430,G,10384 Airport Rd,Longmont,CO,80503,64205,G,,x,40.162906,-105.149741,g1,,x,,x,2017-07-12,G,,N,,x
Tucker Dairy Company,19871414621,G,43550 WELD COUNTY ROAD 39,Pierce,CO,80650,62046,G,,x,40.633484,-104.695979,g1,,x,,x,1980-10-14,G,,N,,x
TV Dairy,20071268771,G,7678 County Road 17,Fort Lupton,CO,80621,62014,G,,x,40.107600,-104.902007,g1,,x,,x,2007-06-06,G,,N,,x
Twin Cottonwood Dairy,20121704181,G,25002 County Road 8,Weldona,CO,80653,,N,,x,40.378905,-103.993899,g1,,x,,x,2012-12-24,G,,N,,x
Two Bar C Dairy,19871160004,G,15300 E 144TH AVE,Brighton,CO,80601,64029,G,,x,39.956000,-104.807734,g1,,x,,x,1962-05-09,G,,N,,x
Van Maanen Dairy,20061064030,G,37746 WCR 65,Galeton,CO,80622,,N,,x,40.547466,-104.449830,g1,,x,,x,2006-02-11,G,,N,,x
Veeman Dairy,20131156164,G,7001 N. I-76 Frontage Road,Wiggins,CO,80654,44016,G,,x,40.250733,-104.018128,g1,,x,,x,2013-03-07,G,,N,,x
Von Feldt Dairy,19881110116,G,10933 WELD CTY RD 22,Fort Lupton,CO,80621,62014,G,,x,40.145559,-104.848949,g1,,x,,x,1988-12-30,G,,N,,x
Webb Dairy and Farm,19921001487,G,5644 HIGHWAY 348,Olathe,CO,81425,43012,G,,x,38.607705,-108.024984,g1,,x,,x,1992-01-07,G,,N,,x
West Dairy,20001016904,G,"4845 Pear East Circle, Ste 101",Boulder,CO,80301,07006,G,,x,40.021729,-105.240727,g1,,x,,x,2000-01-26,G,,N,,x
Wiedeman Dairy,20121332635,G,5880 West 49th Street,Greeley,CO,80634,62022,G,,x,40.363216,-104.803965,g1,,x,,x,2012-06-19,G,,N,,x
Wildcat Dairy,20051465184,G,24268 MCR 21,Fort Morgan,CO,80701,44006,G,,x,40.354601,-103.747150,g1,,x,,x,2005-12-14,G,,N,,x
Willett Dairy Farm and Cattle Company,19871158623,G,20789 CR 28,Sanford,CO,81151,11016,G,,x,37.296875,-105.747528,g1,,x,,x,1962-02-19,G,,N,,x
Windkist Dairy,20101430376,G,2400 Fourmile Creek Rd.,Hartsel,CO,80449,,N,,x,39.058605,-105.852752,g1,,x,,x,2010-08-02,G,,N,,x
Windsor Dairy,20051272766,G,6427 Weld County Road 68 1/2,Windsor,CO,80550,64225,G,,x,40.486663,-104.936421,g1,,x,,x,2005-07-15,G,,N,,x
Wolf Creek Dairy,20161461497,G,10268 COUNTY ROAD 80,Ault,CO,80516,62003,G,,x,40.568240,-104.735252,g1,,x,,x,2016-07-06,G,,N,,x
Wren Haven Dairy,20141206108,G,2573 Lanyon Drive,Longmont,CO,80503,64205,G,,x,40.180334,-105.134789,g1,,x,,x,2014-03-28,G,,N,,x
Yuma County Dairy,20041428953,G,8798 County Road 39,Yuma,CO,80759,63017,G,,x,40.132960,-102.646735,g1,,x,,x,2004-12-13,G,,N,,x
Zitek Dairy,19931062940,G,46499 WCR 136,Grover,CO,80729,62023,G,,x,40.972741,-104.171710,g1,,x,,x,1993-06-17,G,,N,,x
